               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0081308,           0.0055932,           0.0068839,             0.99329,                   1,               0.995,             0.94132,           0.0031036,           0.0025971,          0.00051383,            0.070682,           0.0032576,           0.0032576
                   1,            0.010798,            0.006189,           0.0057056,             0.99609,                   1,               0.995,             0.82287,           0.0067895,           0.0027187,          0.00048841,            0.040551,           0.0064604,           0.0064604
                   2,            0.016899,            0.007078,           0.0083604,             0.99736,             0.99907,               0.995,             0.77301,           0.0074035,           0.0027367,          0.00060977,            0.010289,           0.0095312,           0.0095312
                   3,            0.019374,           0.0081934,            0.010304,             0.95236,             0.96281,               0.995,             0.89579,           0.0066473,           0.0034879,           0.0013159,            0.009406,            0.009406,            0.009406
                   4,            0.017625,            0.007408,           0.0086681,             0.92583,             0.97821,             0.99268,             0.87302,           0.0063177,           0.0025739,           0.0019726,            0.009406,            0.009406,            0.009406
                   5,            0.016227,           0.0075366,           0.0068442,             0.94728,             0.92804,             0.98675,             0.90405,           0.0042784,           0.0022216,           0.0018031,            0.009208,            0.009208,            0.009208
                   6,            0.017074,           0.0075529,           0.0098747,             0.96539,             0.97075,             0.99213,              0.8679,            0.005019,           0.0025104,           0.0018044,             0.00901,             0.00901,             0.00901
                   7,            0.017839,           0.0075489,           0.0089239,             0.89928,             0.97294,             0.98626,             0.92761,           0.0049662,           0.0022494,           0.0019615,            0.008812,            0.008812,            0.008812
                   8,            0.015689,           0.0075216,           0.0073171,             0.93394,             0.96429,             0.98884,             0.94031,           0.0065459,           0.0023664,           0.0013563,            0.008614,            0.008614,            0.008614
                   9,            0.016687,           0.0078192,           0.0088385,             0.90755,             0.99573,             0.98796,             0.87522,           0.0060792,           0.0031042,           0.0013821,            0.008416,            0.008416,            0.008416
                  10,            0.014779,           0.0074894,           0.0091303,             0.90698,             0.95281,             0.98118,             0.87112,            0.007314,             0.00293,           0.0023917,            0.008218,            0.008218,            0.008218
                  11,            0.018026,           0.0075637,           0.0088457,             0.90563,             0.92585,             0.98521,             0.86087,           0.0075188,           0.0024179,           0.0026053,             0.00802,             0.00802,             0.00802
                  12,            0.015327,           0.0072584,           0.0092564,             0.87014,             0.97641,             0.99282,             0.87116,           0.0073438,           0.0027624,           0.0025794,            0.007822,            0.007822,            0.007822
                  13,            0.015645,           0.0078774,           0.0084862,             0.86366,                   1,               0.995,             0.91127,           0.0053809,           0.0019983,           0.0026389,            0.007624,            0.007624,            0.007624
                  14,            0.015721,           0.0075883,           0.0079244,             0.89453,                   1,               0.995,             0.90146,           0.0045861,           0.0020912,           0.0019416,            0.007426,            0.007426,            0.007426
                  15,            0.016197,            0.007524,            0.011351,             0.89038,             0.97024,             0.99051,              0.9178,           0.0044002,           0.0025403,           0.0023889,            0.007228,            0.007228,            0.007228
                  16,            0.012906,           0.0069273,            0.008078,             0.91982,             0.95618,             0.99072,             0.88527,           0.0070572,           0.0027262,           0.0015409,             0.00703,             0.00703,             0.00703
                  17,            0.014133,           0.0065409,           0.0081063,             0.94296,                   1,             0.99204,             0.89135,           0.0040367,           0.0023834,           0.0012415,            0.006832,            0.006832,            0.006832
                  18,            0.014853,           0.0073669,           0.0073761,              0.9255,                   1,             0.99072,             0.90623,            0.005383,           0.0024003,            0.001219,            0.006634,            0.006634,            0.006634
                  19,            0.014378,           0.0071197,           0.0072363,             0.94596,             0.97512,             0.98921,             0.88377,           0.0049102,           0.0030818,           0.0012426,            0.006436,            0.006436,            0.006436
                  20,            0.013038,           0.0068184,            0.007626,             0.94788,             0.98214,             0.99072,             0.88396,           0.0044072,           0.0028011,           0.0011445,            0.006238,            0.006238,            0.006238
                  21,            0.011732,           0.0065752,           0.0074315,             0.99655,             0.98208,             0.99448,             0.93352,           0.0042005,           0.0027477,           0.0010097,             0.00604,             0.00604,             0.00604
                  22,            0.014738,            0.006813,           0.0071195,             0.96141,              0.9833,               0.995,             0.95351,            0.004264,            0.002749,           0.0011517,            0.005842,            0.005842,            0.005842
                  23,            0.013815,            0.006553,           0.0069601,              0.9692,             0.98214,             0.99361,             0.94225,           0.0053423,           0.0036705,           0.0009023,            0.005644,            0.005644,            0.005644
                  24,            0.013648,           0.0067479,            0.009935,             0.99906,             0.98554,               0.995,             0.93185,           0.0034446,           0.0040326,          0.00082748,            0.005446,            0.005446,            0.005446
                  25,            0.011203,           0.0063196,           0.0096469,             0.97806,              0.9731,             0.99361,             0.89399,           0.0047779,           0.0034188,           0.0012169,            0.005248,            0.005248,            0.005248
                  26,            0.011405,           0.0063051,           0.0077857,             0.97038,             0.97727,             0.99361,             0.89637,           0.0038828,           0.0033306,           0.0013606,             0.00505,             0.00505,             0.00505
                  27,            0.011242,           0.0064916,           0.0072799,             0.96121,             0.96758,             0.99361,             0.88765,           0.0043789,           0.0030723,            0.001278,            0.004852,            0.004852,            0.004852
                  28,           0.0091091,           0.0062401,           0.0070899,             0.97749,             0.95771,             0.99361,             0.90631,           0.0047309,           0.0026173,           0.0011471,            0.004654,            0.004654,            0.004654
                  29,            0.011349,           0.0062147,            0.006837,             0.99696,             0.99555,               0.995,             0.92431,           0.0038589,           0.0029112,          0.00076223,            0.004456,            0.004456,            0.004456
                  30,            0.012105,           0.0063043,           0.0068617,             0.99172,             0.99025,               0.995,             0.91278,           0.0035684,           0.0030797,           0.0007374,            0.004258,            0.004258,            0.004258
                  31,            0.010875,           0.0064566,           0.0064537,             0.97359,             0.98214,             0.99253,             0.87585,           0.0039427,           0.0034194,          0.00083664,             0.00406,             0.00406,             0.00406
                  32,           0.0096165,           0.0062352,           0.0066474,             0.97398,             0.97539,             0.99253,              0.8985,           0.0035974,           0.0027755,           0.0008757,            0.003862,            0.003862,            0.003862
                  33,           0.0092199,           0.0061225,           0.0067843,             0.96873,             0.98214,             0.99361,             0.92857,           0.0029354,           0.0020857,          0.00082334,            0.003664,            0.003664,            0.003664
                  34,            0.010698,           0.0063986,           0.0077959,             0.98497,             0.98214,               0.994,             0.91586,           0.0035897,           0.0021961,          0.00079608,            0.003466,            0.003466,            0.003466
                  35,             0.01024,           0.0060077,           0.0070424,             0.93295,                   1,             0.99204,             0.87541,           0.0047373,           0.0023475,           0.0010935,            0.003268,            0.003268,            0.003268
                  36,           0.0087431,           0.0058694,            0.007116,             0.96042,             0.94697,             0.99204,             0.93184,           0.0034113,           0.0025025,            0.001434,             0.00307,             0.00307,             0.00307
                  37,            0.009231,           0.0061519,           0.0071078,             0.95845,             0.95455,             0.99204,              0.9311,           0.0034096,           0.0025244,           0.0016376,            0.002872,            0.002872,            0.002872
                  38,           0.0087512,             0.00593,            0.005901,             0.93301,             0.94839,             0.99204,             0.90546,           0.0031993,           0.0025575,           0.0019053,            0.002674,            0.002674,            0.002674
                  39,           0.0084211,           0.0058964,           0.0069803,             0.90634,             0.94091,             0.99204,             0.92995,           0.0026476,            0.002787,           0.0023198,            0.002476,            0.002476,            0.002476
                  40,           0.0092581,           0.0055974,           0.0085413,             0.91184,             0.92761,             0.99072,             0.91215,             0.00267,           0.0026008,           0.0023929,            0.002278,            0.002278,            0.002278
                  41,           0.0077215,           0.0055578,           0.0074074,             0.93997,              0.9459,             0.99204,             0.93241,            0.002635,           0.0025543,           0.0016682,             0.00208,             0.00208,             0.00208
                  42,           0.0080463,           0.0055614,           0.0064101,             0.95819,              0.9726,             0.99313,             0.93197,           0.0027862,           0.0025185,           0.0011126,            0.001882,            0.001882,            0.001882
                  43,           0.0073153,           0.0054825,           0.0053462,             0.97389,             0.97024,             0.99361,             0.92684,           0.0029471,             0.00232,           0.0009233,            0.001684,            0.001684,            0.001684
                  44,           0.0066436,           0.0050317,           0.0056276,             0.96286,              0.9943,             0.99448,             0.92152,           0.0030956,           0.0023518,          0.00078933,            0.001486,            0.001486,            0.001486
                  45,           0.0075304,           0.0054287,           0.0063246,              0.9981,             0.98662,               0.995,              0.9262,           0.0030091,           0.0025916,          0.00069282,            0.001288,            0.001288,            0.001288
                  46,            0.007342,           0.0054458,           0.0056734,             0.97594,              0.9966,               0.995,             0.92745,           0.0028359,           0.0026382,          0.00065907,             0.00109,             0.00109,             0.00109
                  47,           0.0074588,           0.0052979,           0.0057105,             0.96753,             0.99603,               0.995,             0.92963,           0.0025898,           0.0025975,          0.00070076,            0.000892,            0.000892,            0.000892
                  48,           0.0071006,            0.005382,           0.0062482,             0.96286,                   1,               0.995,             0.92405,           0.0026242,           0.0026286,          0.00066923,            0.000694,            0.000694,            0.000694
                  49,           0.0070373,           0.0051502,           0.0054325,             0.99778,              0.9923,               0.995,             0.93157,           0.0025599,           0.0025778,          0.00053715,            0.000496,            0.000496,            0.000496
